tweet_id,created_at,date,month,year,hour,weekday,author,tweet_text_raw,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment,sentiment_conf
t00034,2013-09-04 13:26:00,2013-09-04,2013-09,2013,13,Wednesday,jtimberlake,“@ericrodwell: @jtimberlake looking forward to The Short Game as I'm trying to get my daughter more involved... You are going to LOVE it.,256,235,0.0019,0.0088,0.9893,0.9874,Positive,0.9893
t00035,2014-10-27 02:54:00,2014-10-27,2014-10,2014,2,Monday,britneyspears,A little birdie told me there are new @IntimateBritney arrivals... and they're GORGEOUS! 😍 Who's seen them?! http://t.co/yAQpRZjfeM,2206,1308,0.0023,0.0139,0.9838,0.9816,Positive,0.9838
t00036,2015-07-16 07:13:00,2015-07-16,2015-07,2015,7,Thursday,arianagrande,"alright forreal this time... sweet dreams, babes. I love you. 💞",26275,13933,0.0035,0.0129,0.9837,0.9802,Positive,0.9837
t00037,2014-05-02 04:54:00,2014-05-02,2014-05,2014,4,Friday,jtimberlake,"#PLAYITLOUD: ""Love Never Felt So Good"" duet version @michaeljackson #MJandJT #MJXSCAPE http://t.co/XtgwKcGHro",2999,2811,0.0055,0.8675,0.127,0.1215,Neutral,0.8675
t00038,2014-04-30 00:55:00,2014-04-30,2014-04,2014,0,Wednesday,shakira,RT @ShakiraMedia RETWEET to #VoiceSave Tess!,645,3730,0.0282,0.8087,0.1631,0.1349,Neutral,0.8087
t00039,2013-12-03 18:53:00,2013-12-03,2013-12,2013,18,Tuesday,britneyspears,@ugxly That's amazing! #BritneyJeanOutNow,99,64,0.0032,0.0138,0.983,0.9799,Positive,0.983
t00040,2015-11-10 18:02:00,2015-11-10,2015-11,2015,18,Tuesday,arianagrande,"i love you, i do",42353,29361,0.0092,0.0512,0.9396,0.9304,Positive,0.9396
t00041,2016-06-15 16:42:00,2016-06-15,2016-06,2016,16,Wednesday,ddlovato,"Meet @devonnebydemi’s newest product, Acne Rescue Treatment! I’ve been using it every day 😊 https://t.co/LdAbm0nsSu https://t.co/1inO7Ang1S",15297,6937,0.0013,0.0326,0.9661,0.9649,Positive,0.9661
t00042,2016-07-13 20:07:00,2016-07-13,2016-07,2016,20,Wednesday,britneyspears,My new fragrance Private Show just got a spot on the small screen ✨#TakeABow https://t.co/1kZEkCXpX9,14579,6585,0.002,0.1462,0.8518,0.8499,Positive,0.8518
t00043,2015-06-22 19:45:00,2015-06-22,2015-06,2015,19,Monday,selenagomez,Thank you! This next record will be my perspective on the past two years. From kindness to pain. This is me. https://t.co/UfuQv6QlKO,14934,11188,0.009,0.0954,0.8956,0.8866,Positive,0.8956
t00044,2013-09-30 12:50:00,2013-09-30,2013-09,2013,12,Monday,katyperry,👀 “@KatySlaysUrFav: @katyperry omg please just tweet me before I cry and eat my body weight in nutella”,1311,1489,0.3701,0.4514,0.1785,-0.1917,Neutral,0.4514
t00045,2015-04-27 16:30:00,2015-04-27,2015-04,2015,16,Monday,barackobama,"Congratulations to Loretta Lynch, who was sworn in as U.S. attorney general today, the first African-American woman to hold the post.",7829,5444,0.0021,0.0538,0.944,0.9419,Positive,0.944
t00046,2015-07-02 19:13:00,2015-07-02,2015-07,2015,19,Thursday,barackobama,"""In America, a hard day's work deserves a fair day's pay."" —President Obama",2394,1043,0.0095,0.1721,0.8184,0.809,Positive,0.8184
t00047,2017-01-04 17:56:00,2017-01-04,2017-01,2017,17,Wednesday,kimkardashian,my son ❤ https://t.co/YJq352YzoA,238133,51192,0.0068,0.0803,0.9129,0.9061,Positive,0.9129
t00048,2012-11-02 20:15:00,2012-11-02,2012-11,2012,20,Friday,cristiano,Say hello to Himanshu Yadav and all my friends from #India. I will come shortly with more news. http://t.co/60xEW67c,566,903,0.0021,0.1978,0.8001,0.798,Positive,0.8001
t00049,2014-04-01 23:04:00,2014-04-01,2014-04,2014,23,Tuesday,shakira,Thanks! So pleased you like it. Shak RT @PacifictoPark Absolutely obsessed with the new @shakira album #Empire #TheOneThing,594,312,0.0018,0.0076,0.9906,0.9888,Positive,0.9906
t00050,2013-11-27 00:01:00,2013-11-27,2013-11,2013,0,Wednesday,britneyspears,".@ETonlineAlert @meetscottyb Broccoli casserole, butter beans and cornbread!",483,350,0.0046,0.6961,0.2993,0.2948,Neutral,0.6961
t00051,2016-10-18 00:50:00,2016-10-18,2016-10,2016,0,Tuesday,theellenshow,Do u know someone who could use a little extra love this holiday season? I wanna hear about them #BeKindToOneAnother https://t.co/b1kvadCkXU,3186,613,0.0083,0.202,0.7897,0.7813,Positive,0.7897
t00052,2016-12-10 19:55:00,2016-12-10,2016-12,2016,19,Saturday,cnnbrk,"Church collapse kills as many as 50 people in Nigeria, officials say. https://t.co/e4pvXwhLvD",348,599,0.822,0.1705,0.0075,-0.8144,Negative,0.822
t00053,2014-09-12 20:53:00,2014-09-12,2014-09,2014,20,Friday,ladygaga,Goodnight monsters. I can't wait for you to see the @HSN special 2morrow. It's a very personal look into the recording process #CheekToCheek,4075,2626,0.0015,0.0173,0.9812,0.9797,Positive,0.9812
t00054,2013-06-04 19:39:00,2013-06-04,2013-06,2013,19,Tuesday,selenagomez,"Check out the Premium ""Stars Dance"" Pre-Order Package: http://t.co/FGxTE1VXe0",5931,9425,0.0045,0.7985,0.197,0.1925,Neutral,0.7985
t00055,2011-08-12 02:56:00,2011-08-12,2011-08,2011,2,Friday,selenagomez,@Betsy_Smith aw glad I could make a little difference. Say hi to the little for me. God Bless.,283,774,0.0046,0.0154,0.98,0.9754,Positive,0.98
t00056,2014-07-02 01:10:00,2014-07-02,2014-07,2014,1,Wednesday,britneyspears,@_FranPorto Cute!! Xo,777,629,0.0062,0.0317,0.9621,0.9559,Positive,0.9621
t00057,2015-09-15 03:24:00,2015-09-15,2015-09,2015,3,Tuesday,ladygaga,. @formichetti #fuckfashion #NYFW attending @Brandonmaxwell 🚬👠 http://t.co/13KEkgNoKH,8520,4364,0.6364,0.3474,0.0162,-0.6203,Negative,0.6364
t00058,2016-06-09 20:07:00,2016-06-09,2016-06,2016,20,Thursday,theellenshow,"Wanna have a little fun today? Play “Have a Little Fun Today” casino game in the DoubleDown app, & you surely will. https://t.co/oKWB8FGuAS",1390,171,0.0016,0.0511,0.9473,0.9457,Positive,0.9473
t00059,2015-12-10 19:40:00,2015-12-10,2015-12,2015,19,Thursday,shakira,#TBT That time in Dec 2009 when we helped four fans achieve their dream of seeing Shakira perform... https://t.co/JWSgxILZ8b ShakHQ,1049,335,0.0029,0.4455,0.5515,0.5486,Positive,0.5515
t00060,2016-05-22 18:28:00,2016-05-22,2016-05,2016,18,Sunday,britneyspears,And PS… you can @Shazam my performance tonight to win 2 tickets to #PieceOfMe in Vegas!,4701,1606,0.0025,0.2103,0.7872,0.7848,Positive,0.7872
t00061,2016-07-09 18:15:00,2016-07-09,2016-07,2016,18,Saturday,instagram,"Happy Independence Day, Argentina! 🇦🇷 https://t.co/0Jk0zT6vbB",1249,485,0.0019,0.0112,0.9869,0.985,Positive,0.9869
t00062,2012-11-22 03:26:00,2012-11-22,2012-11,2012,3,Thursday,britneyspears,"@Purple_Dianna Yes u do, thanks sweetie!",39,66,0.0028,0.0121,0.9852,0.9824,Positive,0.9852
t00063,2016-06-22 17:31:00,2016-06-22,2016-06,2016,17,Wednesday,barackobama,The kind of obstruction we're seeing from Senate leaders is unprecedented. #DoYourJob https://t.co/W4TbswBwvS,13139,4729,0.8774,0.1125,0.0101,-0.8674,Negative,0.8774
t00064,2015-04-11 16:57:00,2015-04-11,2015-04,2015,16,Saturday,theellenshow,.@JTimberlake and @JessicaBiel had a baby! Silas Randall Timberlake is here! I also hear he's hosting SNL tonight.,7808,2553,0.0022,0.2949,0.7029,0.7008,Positive,0.7029
t00065,2016-04-29 20:28:00,2016-04-29,2016-04,2016,20,Friday,theellenshow,A surprise guest played Pie Face w/ @MarioLopezExtra. Give ya a hint—It's not Kelly Kapowski https://t.co/uzNG2XbAMj https://t.co/e3rqCo3tKu,2049,260,0.0198,0.7794,0.2008,0.181,Neutral,0.7794
t00066,2016-03-10 08:06:00,2016-03-10,2016-03,2016,8,Thursday,justinbieber,Thank you Seattle #PurposeTour https://t.co/fjp7r5oRTy,177903,106565,0.0024,0.024,0.9735,0.9711,Positive,0.9735
t00067,2016-08-04 14:24:00,2016-08-04,2016-08,2016,14,Thursday,barackobama,One last birthday as Organizer-in-Chief. Help make it a good one—sign the card now: https://t.co/B5SHzEgogW https://t.co/5CDfypnatQ,10362,2144,0.0022,0.0482,0.9496,0.9475,Positive,0.9496
t00068,2015-04-20 08:55:00,2015-04-20,2015-04,2015,8,Monday,ddlovato,"In honor of our former escapades, I thought you'd like this to remember your first blaze.. Happy #420… https://t.co/D6p3RMzhJj",20205,14450,0.0019,0.0304,0.9677,0.9658,Positive,0.9677
t00069,2015-10-16 21:47:00,2015-10-16,2015-10,2015,21,Friday,arianagrande,hello,32927,18237,0.0827,0.5091,0.4082,0.3255,Neutral,0.5091
t00070,2016-07-19 19:47:00,2016-07-19,2016-07,2016,19,Tuesday,kimkardashian,5 WEDDING STYLE RULES I LOVE TO BREAK https://t.co/NstXkpFHi8,3992,552,0.0153,0.1884,0.7963,0.781,Positive,0.7963
t00071,2016-04-07 14:49:00,2016-04-07,2016-04,2016,14,Thursday,justinbieber,#Company remix @TheKnocks. They are coming with me to Canada on the #PurposeTour https://t.co/dzJt5karYg,73260,43156,0.0021,0.7078,0.2901,0.2879,Neutral,0.7078
t00072,2016-06-06 04:42:00,2016-06-06,2016-06,2016,4,Monday,ddlovato,@PaigeVanzantUFC so nice meeting you!! 💗,4689,2353,0.004,0.0083,0.9876,0.9836,Positive,0.9876
t00073,2014-08-05 17:45:00,2014-08-05,2014-08,2014,17,Tuesday,jtimberlake,San Antonio & @theTNKids... Get ready to ruuuummmble!!!!!!! http://t.co/lQX6SlYOFR,2363,1068,0.0025,0.2113,0.7863,0.7838,Positive,0.7863
t00074,2015-08-11 09:43:00,2015-08-11,2015-08,2015,9,Tuesday,ddlovato,"Hi, I'm literally 2 ft. tall...... #littlejoey #Australia #COOLFORTHESUMMER https://t.co/tnznvQuW4f",10762,6728,0.0128,0.3815,0.6057,0.593,Positive,0.6057
t00075,2016-07-29 10:03:00,2016-07-29,2016-07,2016,10,Friday,katyperry,@thedutchass untrue,3042,857,0.5338,0.431,0.0351,-0.4987,Negative,0.5338
t00076,2010-09-15 00:46:00,2010-09-15,2010-09,2010,0,Wednesday,selenagomez,Interview Selena. http://bit.ly/ba2vW2 #interviewselena,192,633,0.0067,0.8802,0.1131,0.1064,Neutral,0.8802
t00077,2013-10-28 09:46:00,2013-10-28,2013-10,2013,9,Monday,rihanna,"“@Faiz_Fenty: u had snakes on u, but they scare u?” Go figure! They fly around way too fast for me! Im dead ass in Leandra n Noella room now",1171,1299,0.7569,0.2059,0.0372,-0.7197,Negative,0.7569
t00078,2014-08-26 18:59:00,2014-08-26,2014-08,2014,18,Tuesday,shakira,Exclusive film of the recording of Shak's new album added to her mobile app iPhone http://t.co/DfqZibjeu9 Android http://t.co/zPkLTg1WS6 SHQ,871,512,0.0036,0.8208,0.1756,0.172,Neutral,0.8208
t00079,2015-11-10 19:11:00,2015-11-10,2015-11,2015,19,Tuesday,justinbieber,My Beliebers still got it lol second show added for Staples on Friday https://t.co/5qyd2nYmbf,52212,42401,0.0035,0.1469,0.8496,0.8462,Positive,0.8496
t00080,2016-04-15 18:33:00,2016-04-15,2016-04,2016,18,Friday,katyperry,...the first 💯 pre-orders get a Perry Panther lipstick signed by me!,13911,5134,0.0039,0.3967,0.5994,0.5956,Positive,0.5994
t00081,2016-01-13 02:34:00,2016-01-13,2016-01,2016,2,Wednesday,barackobama,"""America is about giving everybody willing to work a chance."" —President Obama #SOTU",2368,1256,0.005,0.1214,0.8735,0.8685,Positive,0.8735
t00082,2016-11-29 12:12:00,2016-11-29,2016-11,2016,12,Tuesday,cnnbrk,Obamacare critic Tom Price is Trump's pick for health secretary. https://t.co/d3NeU4Hcob https://t.co/0IttYJcoHX,348,197,0.1989,0.7744,0.0267,-0.1721,Neutral,0.7744
t00083,2015-10-29 20:54:00,2015-10-29,2015-10,2015,20,Thursday,instagram,Dream-inspired fairy tales with @ancienthearts https://t.co/wSgosS5174 https://t.co/ZAp0HuJFUM,1963,481,0.0038,0.5024,0.4938,0.4899,Neutral,0.5024
t00084,2015-08-22 23:00:00,2015-08-22,2015-08,2015,23,Saturday,selenagomez,Listen to my @SaturdayOnline interview with @OnAirRomeo tonight at 8:30pET. + request Good For You #SelenaOnSNOL http://t.co/ixQ3ajf7xO,16062,10105,0.003,0.7098,0.2872,0.2842,Neutral,0.7098
t00085,2015-06-11 17:30:00,2015-06-11,2015-06,2015,17,Thursday,kimkardashian,Just finished a great workout!,5008,883,0.0045,0.0157,0.9798,0.9753,Positive,0.9798
t00086,2016-10-16 19:55:00,2016-10-16,2016-10,2016,19,Sunday,arianagrande,@salutesgrande on my way,6543,1837,0.0184,0.7094,0.2722,0.2538,Neutral,0.7094
t00087,2016-02-19 23:32:00,2016-02-19,2016-02,2016,23,Friday,youtube,"""Heyyyy Michelle!"" @POTUS and @FLOTUS celebrate #BlackHistoryMonth at the White House. https://t.co/vmshHw2Fkk https://t.co/uBbhlvXHdy",1402,273,0.0012,0.0362,0.9626,0.9614,Positive,0.9626
t00088,2016-03-21 13:40:00,2016-03-21,2016-03,2016,13,Monday,twitter,"Glad we get to ""See You Again"" and again on Twitter! Thanks, @wizkhalifa. #LoveTwitter https://t.co/qfjDM8Tm0k",1013,280,0.0019,0.0105,0.9876,0.9857,Positive,0.9876
t00089,2013-09-30 17:30:00,2013-09-30,2013-09,2013,17,Monday,katyperry,1 hour 'till showtime! With my ladies @iconapop and @iggyazalea kicking things off at #iTunesFestival! DON'T MISS IT! http://t.co/U4HASUNAFx,2074,2551,0.0011,0.0373,0.9616,0.9604,Positive,0.9616
t00090,2016-08-02 20:06:00,2016-08-02,2016-08,2016,20,Tuesday,ladygaga,"A best friend for many years is fighting stage4 breast, brain & lung cancer. If u could #PrayForSonja #ThinkOfSonja https://t.co/pTgZxcnqYp",33960,8917,0.0486,0.3196,0.6318,0.5832,Positive,0.6318
t00091,2016-01-06 02:17:00,2016-01-06,2016-01,2016,2,Wednesday,jimmyfallon,Preview of our show tonight: https://t.co/6WH6K683OG #FallonTonight,1456,352,0.0032,0.7459,0.2509,0.2477,Neutral,0.7459
t00092,2015-01-19 21:16:00,2015-01-19,2015-01,2015,21,Monday,ddlovato,Buddy loves his #DevonneByDemi products.... Do you?!!!? 😝😍💕 http://t.co/7VOLfgi9xp http://t.co/otFqCG8SXE,14839,9925,0.0014,0.0128,0.9858,0.9844,Positive,0.9858
t00093,2016-08-10 22:35:00,2016-08-10,2016-08,2016,22,Wednesday,shakira,Video: @natalia.rincontorres on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/6CF9exERbm,3201,431,0.0081,0.941,0.0508,0.0427,Neutral,0.941
t00094,2016-07-12 00:48:00,2016-07-12,2016-07,2016,0,Tuesday,arianagrande,this is crazy. #IntoYou X #OneInAMillion S/o to Shinji the 7th! thank you! ♡ ♩ ☾ https://t.co/UOHcR14VEH,29493,10676,0.0025,0.0253,0.9722,0.9697,Positive,0.9722
t00095,2016-06-19 19:38:00,2016-06-19,2016-06,2016,19,Sunday,instagram,“Fatherhood is a miracle and an honor. To be loved and greeted with gratitude from your child for this gift is fulfilling.” —@BennyHarlem,723,300,0.0024,0.0103,0.9874,0.985,Positive,0.9874
t00096,2015-10-05 17:21:00,2015-10-05,2015-10,2015,17,Monday,theellenshow,You got it. Feel free to keep winning. https://t.co/l3GwkOOV17,1955,385,0.0059,0.0342,0.9598,0.9539,Positive,0.9598
t00097,2016-02-02 22:00:00,2016-02-02,2016-02,2016,22,Tuesday,youtube,And to your left you’ll see a dwarf planet named Ceres. https://t.co/Qpi7UZe0sw https://t.co/iOHcsPN6V5,1135,192,0.0049,0.8116,0.1835,0.1786,Neutral,0.8116
t00098,2013-06-07 17:02:00,2013-06-07,2013-06,2013,17,Friday,britneyspears,Congratulations to all the new graduates out there! xoxo http://t.co/lFhYu8qpfQ,3847,3186,0.0025,0.0084,0.9892,0.9867,Positive,0.9892
t00099,2016-09-26 22:18:00,2016-09-26,2016-09,2016,22,Monday,youtube,It’s time to flip #NationalPancakeDay on its head. https://t.co/dMikYESOII https://t.co/wj9Mwat8Hb,696,98,0.2051,0.5748,0.2201,0.015,Neutral,0.5748
t00100,2016-10-10 02:27:00,2016-10-10,2016-10,2016,2,Monday,ladygaga,I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/WU0xmfEzPR,4382,1466,0.0088,0.541,0.4501,0.4413,Neutral,0.541
t00101,2016-02-09 21:30:00,2016-02-09,2016-02,2016,21,Tuesday,kimkardashian,UGLY CRY https://t.co/PRZek2KPPE https://t.co/oLCkwumu6r,6732,1848,0.5637,0.3935,0.0428,-0.5208,Negative,0.5637
t00102,2015-10-24 18:25:00,2015-10-24,2015-10,2015,18,Saturday,jimmyfallon,My adventure begins! I have arrived in one of my favorite cities - Boston. #HarvardLampoon,3526,562,0.0013,0.0239,0.9747,0.9734,Positive,0.9747
t00103,2014-01-20 22:09:00,2014-01-20,2014-01,2014,22,Monday,katyperry,In celebration of tomorrow's PRISMATIC WORLD TOUR PRESALE may I exclusively present a SNEAK PEEK of my custom STAGE: http://t.co/meZ5lGFILH,15154,9467,0.0015,0.0921,0.9065,0.905,Positive,0.9065
t00104,2012-12-31 16:57:00,2012-12-31,2012-12,2012,16,Monday,cristiano,Here´s the top 15. #Celebrate15M,279,499,0.0032,0.2804,0.7164,0.7132,Positive,0.7164
t00105,2015-10-15 14:10:00,2015-10-15,2015-10,2015,14,Thursday,jimmyfallon,"Tonight: Kid Theater returns w/@TomHanks! Plus @jes_chastain is here, @PTXofficial performs & your #WhyDidISayThat tweets! #FallonTonight",2049,495,0.0023,0.4453,0.5523,0.55,Positive,0.5523
t00106,2016-01-09 22:45:00,2016-01-09,2016-01,2016,22,Saturday,ladygaga,Out now THIS WEEKEND! Based on true events #TheForest @theforestisreal Starring Natalie Dormer + @TaylorKinney111 https://t.co/uWcDBlNiYS,8541,3357,0.0028,0.726,0.2711,0.2683,Neutral,0.726
t00107,2016-04-13 13:00:00,2016-04-13,2016-04,2016,13,Wednesday,instagram,"Colorful shadows, curves and reflections from @ARoSKunst #WHPlightandshadow https://t.co/VqCiLNq1Yz",964,194,0.0036,0.2059,0.7905,0.7869,Positive,0.7905
t00108,2015-03-30 01:31:00,2015-03-30,2015-03,2015,1,Monday,ddlovato,Jesus on Easter be like......... https://t.co/DkVTKsccly,15069,9926,0.0135,0.7772,0.2094,0.1959,Neutral,0.7772
t00109,2013-02-15 19:13:00,2013-02-15,2013-02,2013,19,Friday,cristiano,"Hey guys, today I've been filming. Have a nice weekend everyone. http://t.co/haEHznzI",6084,5929,0.0023,0.018,0.9797,0.9774,Positive,0.9797
t00110,2015-02-08 11:19:00,2015-02-08,2015-02,2015,11,Sunday,ddlovato,Fuck trying to make music that will appeal to the masses for the sake of hit songs. It's time to share my lane... MY SOUND.. Because no one,31167,21995,0.82,0.1585,0.0215,-0.7985,Negative,0.82
