id,title,price_gbp,rating,availability,page
171,"Shobu Samurai, Project Aryoku (#3)",29.06,3,In stock,9
172,Secrets and Lace (Fatal Hearts #1),20.27,1,In stock,9
173,Scarlett Epstein Hates It Here,43.55,5,In stock,9
174,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,In stock,9
175,Redeeming Love,20.47,5,In stock,9
176,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,In stock,9
177,Poems That Make Grown Women Cry,14.19,4,In stock,9
178,"Nightingale, Sing",38.28,1,In stock,9
179,Night Sky with Exit Wounds,41.05,1,In stock,9
180,Mrs. Houdini,30.25,5,In stock,9
181,Modern Romance,28.26,5,In stock,10
182,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,In stock,10
183,Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,In stock,10
184,Little Red,13.47,3,In stock,10
185,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,In stock,10
186,Large Print Heart of the Pride,19.15,2,In stock,10
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,In stock,10
188,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,In stock,10
189,Grumbles,22.16,2,In stock,10
190,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,10
191,Frostbite (Vampire Academy #2),29.99,5,In stock,10
192,Follow You Home,21.36,1,In stock,10
193,First Steps for New Christians (Print Edition),29.0,1,In stock,10
194,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,10
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,In stock,10
196,Eureka Trivia 6.0,54.59,4,In stock,10
197,Drive: The Surprising Truth About What Motivates Us,34.95,4,In stock,10
198,Done Rubbed Out (Reightman & Bailey #1),37.72,5,In stock,10
199,Doing It Over (Most Likely To #1),35.61,3,In stock,10
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,In stock,10
201,Dark Notes,19.19,5,In stock,11
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,In stock,11
203,Close to You,49.46,4,In stock,11
204,Chasing Heaven: What Dying Taught Me About Living,37.8,2,In stock,11
205,Big Magic: Creative Living Beyond Fear,30.8,3,In stock,11
206,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,In stock,11
207,Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,In stock,11
208,Batman: The Long Halloween (Batman),36.5,2,In stock,11
209,Batman: The Dark Knight Returns (Batman),15.38,5,In stock,11
210,Ayumi's Violin,15.48,2,In stock,11
211,Anonymous,46.82,4,In stock,11
212,Amy Meets the Saints and Sages,18.46,3,In stock,11
213,Amid the Chaos,36.58,1,In stock,11
214,Amatus,50.54,5,In stock,11
215,Agnostic: A Spirited Manifesto,12.51,5,In stock,11
216,Zealot: The Life and Times of Jesus of Nazareth,24.7,3,In stock,11
217,You (You #1),43.61,5,In stock,11
218,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,In stock,11
219,Wild Swans,14.36,2,In stock,11
220,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,In stock,11
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,In stock,12
222,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,In stock,12
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,In stock,12
224,Walt Disney's Alice in Wonderland,12.96,5,In stock,12
225,V for Vendetta (V for Vendetta Complete),37.1,4,In stock,12
226,Until Friday Night (The Field Party #1),46.31,2,In stock,12
227,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,In stock,12
228,Twenty Yawns,22.08,2,In stock,12
229,Through the Woods,25.38,2,In stock,12
230,This Is Where It Ends,27.12,2,In stock,12
231,The Year of Magical Thinking,43.04,2,In stock,12
232,The Wright Brothers,56.8,4,In stock,12
233,The White Queen (The Cousins' War #1),25.91,5,In stock,12
234,The Wedding Pact (The O'Malleys #2),32.61,3,In stock,12
235,The Time Keeper,27.88,5,In stock,12
236,The Testament of Mary,52.67,4,In stock,12
237,The Star-Touched Queen,46.02,5,In stock,12
238,The Songs of the Gods,44.48,5,In stock,12
239,The Song of Achilles,37.4,5,In stock,12
240,The Rosie Project (Don Tillman #1),54.04,1,In stock,12
241,The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,In stock,13
242,The Marriage of Opposites,28.08,4,In stock,13
243,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,In stock,13
244,The Long Haul (Diary of a Wimpy Kid #9),44.07,1,In stock,13
245,The Loney,23.4,1,In stock,13
246,The Literature Book (Big Ideas Simply Explained),17.43,3,In stock,13
247,The Last Mile (Amos Decker #2),54.21,2,In stock,13
248,The Immortal Life of Henrietta Lacks,40.67,2,In stock,13
249,The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock,13
250,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,In stock,13
251,The Guilty (Will Robie #4),13.82,2,In stock,13
252,The First Hostage (J.B. Collins #2),25.85,3,In stock,13
253,The Dovekeepers,48.78,1,In stock,13
254,The Darkest Lie,35.35,5,In stock,13
255,The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,13
256,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,In stock,13
257,The 14th Colony (Cotton Malone #11),39.24,1,In stock,13
258,That Darkness (Gardiner and Renner #1),13.92,1,In stock,13
259,Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,13
260,Take Me with You,45.21,3,In stock,13
261,Swell: A Year of Waves,45.58,1,In stock,14
262,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,14
263,Still Life with Bread Crumbs,26.41,3,In stock,14
264,Steve Jobs,39.5,5,In stock,14
265,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock,14
266,Someone Like You (The Harrisons #2),52.79,5,In stock,14
267,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,14
268,Shtum,55.84,4,In stock,14
269,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,14
270,salt.,46.78,4,In stock,14
271,Robin War,47.82,3,In stock,14
272,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,14
273,Rain Fish,23.57,3,In stock,14
274,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,14
275,Pet Sematary,10.56,3,In stock,14
276,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock,14
277,Once Was a Time,18.28,2,In stock,14
278,Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,14
279,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock,14
280,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,14
281,My Name Is Lucy Barton,41.56,1,In stock,15
282,My Mrs. Brown,24.48,3,In stock,15
283,My Kind of Crazy,40.36,1,In stock,15
284,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,15
285,More Than Music (Chasing the Dream #1),37.61,2,In stock,15
286,Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,15
287,Luis Paints the World,53.95,3,In stock,15
288,Luckiest Girl Alive,49.83,3,In stock,15
289,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,15
290,Love Is a Mix Tape (Music #1),18.03,1,In stock,15
291,Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,15
292,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock,15
293,Let It Out: A Journey Through Journaling,26.79,5,In stock,15
294,Lady Midnight (The Dark Artifices #1),16.28,5,In stock,15
295,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock,15
296,Island of Dragons (Unwanteds #7),29.65,1,In stock,15
297,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock,15
298,I Am Pilgrim (Pilgrim #1),10.6,4,In stock,15
299,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,15
300,"Hush, Hush (Hush, Hush #1)",47.02,3,In stock,15
301,Hold Your Breath (Search and Rescue #1),28.82,1,In stock,16
302,Hamilton: The Revolution,58.79,3,In stock,16
303,Greek Mythic History,10.23,5,In stock,16
304,God: The Most Unpleasant Character in All Fiction,30.03,5,In stock,16
305,Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,16
306,Feathers: Displays of Brilliant Plumage,49.05,3,In stock,16
307,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock,16
308,Every Last Word,46.47,3,In stock,16
309,Eligible (The Austen Project #4),27.09,3,In stock,16
310,El Deafo,57.62,5,In stock,16
311,Eight Hundred Grapes,14.39,4,In stock,16
312,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,In stock,16
313,"Eat Fat, Get Thin",54.07,2,In stock,16
314,Don't Get Caught,55.35,1,In stock,16
315,Doctor Sleep (The Shining #2),40.12,2,In stock,16
316,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,In stock,16
317,Dear Mr. Knightley,11.21,5,In stock,16
318,Daily Fantasy Sports,36.58,1,In stock,16
319,Crazy Love: Overwhelmed by a Relentless God,47.72,2,In stock,16
320,Cometh the Hour (The Clifton Chronicles #6),25.01,3,In stock,16
321,Code Name Verity (Code Name Verity #1),22.13,4,In stock,17
322,Clockwork Angel (The Infernal Devices #1),44.14,1,In stock,17
323,City of Glass (The Mortal Instruments #3),56.02,4,In stock,17
324,City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,17
325,City of Bones (The Mortal Instruments #1),43.28,1,In stock,17
326,City of Ashes (The Mortal Instruments #2),47.27,1,In stock,17
327,Cell,20.29,4,In stock,17
328,Catching Jordan (Hundred Oaks),50.83,3,In stock,17
329,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,In stock,17
330,Carrie,46.23,2,In stock,17
331,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,In stock,17
332,Brain on Fire: My Month of Madness,49.32,5,In stock,17
333,Batman: Europa,32.01,2,In stock,17
334,Barefoot Contessa Back to Basics,28.01,1,In stock,17
335,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,In stock,17
336,Balloon Animals,17.03,3,In stock,17
337,Art Ops Vol. 1,48.8,3,In stock,17
338,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,In stock,17
339,Angels Walking (Angels Walking #1),34.2,2,In stock,17
340,Angels & Demons (Robert Langdon #1),51.48,3,In stock,17
341,All the Light We Cannot See,29.87,5,In stock,18
342,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,In stock,18
343,Abstract City,56.37,5,In stock,18
344,A Time of Torment (Charlie Parker #14),48.35,5,In stock,18
345,A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,18
346,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,In stock,18
347,A People's History of the United States,40.79,2,In stock,18
348,A Man Called Ove,39.72,1,In stock,18
349,A Distant Mirror: The Calamitous 14th Century,14.58,3,In stock,18
350,A Brush of Wings (Angels Walking #3),55.51,1,In stock,18
351,1491: New Revelations of the Americas Before Columbus,21.8,3,In stock,18
352,"The Three Searches, Meaning, and the Story",13.33,3,In stock,18
353,Searching for Meaning in Gailana,38.73,1,In stock,18
354,Rook,37.86,4,In stock,18
355,My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,In stock,18
356,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,In stock,18
357,Will You Won't You Want Me?,13.86,3,In stock,18
358,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,In stock,18
359,The Star-Touched Queen,32.3,5,In stock,18
360,The Silent Sister (Riley MacPherson #1),46.29,5,In stock,18
361,The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,In stock,19
362,The Lonely City: Adventures in the Art of Being Alone,33.26,2,In stock,19
363,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,In stock,19
364,The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,In stock,19
365,The Epidemic (The Program 0.6),14.44,5,In stock,19
366,The Dinner Party,56.54,2,In stock,19
367,The Diary of a Young Girl,59.9,3,In stock,19
368,The Children,11.88,3,In stock,19
369,Stars Above (The Lunar Chronicles #4.5),48.05,2,In stock,19
370,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,In stock,19
371,Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,In stock,19
372,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,In stock,19
373,Psycho: Sanitarium (Psycho #1.5),36.97,5,In stock,19
374,Poisonous (Max Revere Novels #3),26.8,3,In stock,19
375,One with You (Crossfire #5),15.71,4,In stock,19
376,No Love Allowed (Dodge Cove #1),54.65,4,In stock,19
377,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,19
378,Most Wanted,35.28,3,In stock,19
379,"Love, Lies and Spies",20.55,2,In stock,19
380,How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,In stock,19
381,Hide Away (Eve Duncan #20),11.84,1,In stock,20
382,Furiously Happy: A Funny Book About Horrible Things,41.46,4,In stock,20
383,Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,In stock,20
384,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,In stock,20
385,Eleanor & Park,56.51,5,In stock,20
386,Dirty (Dive Bar #1),40.83,4,In stock,20
387,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,In stock,20
388,Boar Island (Anna Pigeon #19),59.48,3,In stock,20
389,A Paris Apartment,39.01,4,In stock,20
390,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,In stock,20
391,Troublemaker: Surviving Hollywood and Scientology,48.39,2,In stock,20
392,The Widow,27.26,2,In stock,20
393,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,In stock,20
394,The Improbability of Love,59.45,1,In stock,20
395,The Art of Startup Fundraising,21.0,3,In stock,20
396,Take Me Home Tonight (Rock Star Romance #3),53.98,3,In stock,20
397,Sleeping Giants (Themis Files #1),48.74,1,In stock,20
398,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,In stock,20
399,Playing with Fire,13.71,3,In stock,20
400,Off the Hook (Fishing for Trouble #1),47.67,3,In stock,20
401,Mothering Sunday,13.34,2,In stock,21
402,"Mother, Can You Not?",16.89,5,In stock,21
403,M Train,27.18,1,In stock,21
404,Lilac Girls,17.28,2,In stock,21
